"visit_date","utm_source","utm_medium","utm_campaign","total_cost","visitors_count","lead_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,freemium,21654,104,104,25,1654810
"2023-06-01",yandex,cpc,prof-frontend,57138,78,78,12,1057000
"2023-06-01",yandex,cpc,prof-python,33026,64,64,7,613196
"2023-06-01",yandex,cpc,base-python,12524,31,31,7,476021
"2023-06-01",vk,cpc,prof-python,2028,72,40,5,355564
"2023-06-01",vk,cpc,freemium-frontend,3160,81,44,5,338083
"2023-06-01",yandex,cpc,prof-java,29490,51,51,4,284590
"2023-06-01",yandex,cpc,base-frontend,18061,40,40,3,268515
"2023-06-01",yandex,cpc,prof-professions-brand,4818,13,13,3,154287
"2023-06-30",admitad,cpa,admitad,,71,2,2,201150
"2023-06-01",yandex,cpc,prof-data-analytics,10086,14,14,2,220264
"2023-06-01",vk,cpc,prof-java,3115,51,23,2,232726
"2023-06-01",vk,cpc,base-python,2537,59,36,1,9072
"2023-06-01",yandex,cpc,dod-professions,,6,6,1,37800
"2023-06-01",yandex,cpc,base-professions-retarget,151,4,4,1,134100
